Rating	Feedback
3	Awesome class
3	Awesome class.
3.5	Great Class!!
3	great class
0.5	nobody showed up.
1.5	Mentor wasn't present for the class. Hoping to see mentor for the next booked class :)
0.5	No one show up for class today
1	Quality could not hear her
2.5	It has been too long since I did beginners. This was too hard for me 
1	Your app and instructions aren’t clear. Confusing!
1	as I am still learning yoga sometimes I am not familiar  with pose names instead of just saying pose name it would be better if teacher explains it example chaturnanga and say it like right leg back and left leg back. overall not happy with the class had to leave in middle as I felt no proper explanation.
2	before and during the asanas there is a lack of flow and the instructions are missing at most of the times. Should have been more in sync so I could understand the asanas better
2.5	 I had some difficulty  understanding  what to do. Due to the placement of my camera...I feel so tired,stiff and frustrated during the pace of the class. However,I feel motivated to learn more,stretch more,breath and focus better. Thank you!
3	more detailed instructions needed
1	more relaxed pleasant teacher
3	more feedback on how well I was doing and what to improve
0.5	Request the instructor to join the class on time
3.5	Good
0.5	No class, instructor did not come. waited for 20 mins
3.5	Great class. If possible instructor can wear headphones to reduce background noise, and white noise. 
3.5	extend couple of seconds to hold the pose
3	No interaction for Q&As at the end
0.5	couldn't hear anything latter vide disappeared too....
4.5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
4.5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	I got what I needed
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
3	I got what I needed
4.5	I loved the classes
5	Wonderful giving clear Instructions
2	It was tough for me
4	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
4	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
4.5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
4	Wonderful giving clear Instructions
5	Excellent class and excellent at working with student who has medical limitations while making sure the class was not interested
4.5	I loved the classes
0.5	Wasn’t audible, it was more of yoga than meditation and pranayama 
5	Wonderful giving clear Instructions
0.5	Couldn’t hear a thing
4.5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
0.5	bad internet
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
4.5	I loved the classes
3.5	I got what I needed
5	I loved the classes
3.5	Good class. Would benefit from more precise verbal cues all along.Always need to look at screen due to lack of clear and precise verbal cues. Music at the end was overwhelmingly loud.
5	Other
4.5	I got what I needed
4	I got what I needed
4.5	I loved the classes
5	Wonderful giving clear Instructions
5	I got what I needed
4.5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I got what I needed
4.5	I got what I needed
5	I got what I needed
4	Other
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the class with Sanjana, I am so impressed she explained every single aasana in details before letting us try. 
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I got what I needed
5	I got what I needed
5	I loved the classes
4.5	I loved the classes
4.5	Wonderful giving clear Instructions
4.5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
4.5	Coach arrives on time and gives very clear instructions
5	I loved the classes
5	I got what I needed
4.5	I loved the classes
3	I wasn’t able to join from laptop, why?
5	Wonderful giving clear Instructions
5	I got what I needed
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
1	Video and audio pasued, due to bad connection. need to drop off the class. 
1	The video was keep going ON and OFF.
5	Teacher Gave Clear instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
5	Avanti is amazing
5	I loved the classes
4.5	I loved the classes
5	Wonderful giving clear Instructions
5	I got what I needed
5	I loved the classes
5	I loved the classes
4.5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	I got what I needed
5	I loved the classes
2.5	volme was very low so  no clear instructions
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
0.5	Bad network at teacher's side, not able to follow the instructions as the video is paused and the voice is cracking. 
2.5	teacher was unavailable for 15 min in class due to network glitch, else everything is good
